virus,host,occupation,individual_id,cluster_id,year,month,onset_day,country,city,state,probable_source,transmission_min,transmission_max,infection,symptomatic,outcome,reference,Notes
HeV,horse,NA,H000,C001,1994,Sep,2,Australia,Hendra,Queensland,bat,0,2,not tested,yes,died,"Douglas et al. 1997, Baldock et al. 1996",possible index case but never tested
HeV,horse,NA,H001,C001,1994,Sep,7,Australia,Hendra,Queensland,H000,2,22,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 1997",
HeV,horse,NA,H002,C001,1994,Sep,9,Australia,Hendra,Queensland,"H000, H001",0,2,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 1998",
HeV,horse,NA,H003,C001,1994,Sep,16,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,survived-euthanized,"Douglas et al. 1997, Baldock et al. 1999",
HeV,horse,NA,H004,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2000",
HeV,horse,NA,H005,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,survived-euthanized,"Douglas et al. 1997, Baldock et al. 2001",
HeV,horse,NA,H006,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,survived-euthanized,"Douglas et al. 1997, Baldock et al. 2002",
HeV,horse,NA,H007,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2003",
HeV,horse,NA,H008,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2004",
HeV,horse,NA,H009,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2005",
HeV,horse,NA,H010,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2006",
HeV,horse,NA,H011,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2007",
HeV,horse,NA,H012,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2008",
HeV,horse,NA,H013,C001,1994,Sep,19,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2009",
HeV,horse,NA,H014,C001,1994,Sep,20,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2010",
HeV,horse,NA,H015,C001,1994,Sep,23,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2011",
HeV,horse,NA,H016,C001,1994,Sep,23,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2012",
HeV,horse,NA,H017,C001,1994,Sep,19.5,Australia,Hendra,Queensland,H001,0,0,confirmed,yes,survived-euthanized,"Douglas et al. 1997, Baldock et al. 2013",onset date estimated as median of reported range (16-23)
HeV,horse,NA,H018,C001,1994,Sep,19.5,Australia,Hendra,Queensland,H001,0,0,confirmed,no,survived-euthanized,"Douglas et al. 1997, Baldock et al. 2014",onset date estimated as median of reported range (16-23)
HeV,horse,NA,H019,C001,1994,Sep,19.5,Australia,Hendra,Queensland,H001,0,0,confirmed,no,survived-euthanized,"Douglas et al. 1997, Baldock et al. 2015",onset date estimated as median of reported range (16-23)
HeV,horse,NA,H020,C001,1994,Sep,19.5,Australia,Hendra,Queensland,H001,0,0,confirmed,no,survived-euthanized,"Douglas et al. 1997, Baldock et al. 2016",onset date estimated as median of reported range (16-23)
HeV,human,horse trainer,P001,C001,1994,Sep,19.5,Australia,Hendra,Queensland,"H001, H002",0,0,confirmed,yes,died,"Douglas et al. 1997, Baldock et al. 2017",onset date estimated as median of reported range (16-23)
HeV,human,stable worker,P002,C001,1994,Sep,19.5,Australia,Hendra,Queensland,"H001, H002",0,0,confirmed,yes,survived,"Douglas et al. 1997, Baldock et al. 2018",onset date estimated as median of reported range (16-23)
HeV,horse,NA,H021,C002,1994,Aug,1,Australia,Mackay,Queensland,bat,1,2,confirmed,yes,died,Baldock et al. 1996,
